品種ｺｰﾄﾞ,品種名,品種名(送り状),ﾌﾘｶﾞﾅ,業者ｺｰﾄﾞ,ｸﾞﾙｰﾌﾟｺｰﾄﾞ,商品課税区分,標準単価,売上単価,標準原価,仕入原価,ﾛｲﾔﾘﾃｨ,階級ﾊﾟﾀｰﾝｺｰﾄﾞ,boxtype_from_variety,item,boxtype
40004,大箱　ﾌﾟﾘﾝｽ(定期),プリンス(定期),ｵｵﾊﾞｺ ﾌﾟﾘﾝｽ,1,40,0,0,0,0,0,1,40,大箱,スプレー(定期),大箱
2314,大箱　ﾌﾙﾊｳｽ,フルハウス,ｵｵﾊﾞｺ ﾌﾙﾊｳｽ,2,2,0,0,0,0,0,1.7,2,大箱,スプレー,大箱
8180,大箱　ﾌﾛｯｷﾞｰ,フロッギー,ｵｵﾊﾞｺ ﾌﾛｯｷﾞｰ,2,8,0,0,0,0,0,2.2,8,大箱,ポンポン(小輪),大箱
2262,大箱　ﾌﾛﾚｱ,フロレア,ｵｵﾊﾞｺ ﾌﾛﾚｱ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2039,大箱　ﾍﾞｽﾋﾞｵ　ｲｴﾛｰ,ベスビオ　イエロー,ｵｵﾊﾞｺ ﾍﾞｽﾋﾞｵ ｲｴﾛｰ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2040,大箱　ﾍﾞｽﾋﾞｵ　ﾋﾟﾝｸ,ベスビオ　ピンク,ｵｵﾊﾞｺ ﾍﾞｽﾋﾞｵﾋﾟﾝｸ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2038,大箱　ﾍﾞｽﾋﾞｵ　ﾎﾜｲﾄ,ベスビオ　ホワイト,ｵｵﾊﾞkｵｵﾊﾞｺ ﾍﾞｽﾋﾞｵ ﾎﾜ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
2422,大箱　ﾍﾞﾛｰﾅ,ベローナ,ｵｵﾊﾞｺ ﾍﾞﾛｰﾅ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
2212,大箱　ﾍﾟﾝﾊﾞ,ペンバ,ｵｵﾊﾞｺ ﾍﾟﾝﾊﾞ,2,2,0,0,0,0,0,1.85,2,大箱,スプレー,大箱
8101,大箱　ﾍﾟﾝﾊﾞ,ﾍﾟﾝﾊﾞ,ｵｵﾊﾞｺ ﾍﾟﾝﾊﾞ,2,8,0,0,0,0,0,1.85,8,大箱,ポンポン(小輪),大箱
2420,大箱　ﾎﾟｲﾝﾄ,ポイント,ｵｵﾊﾞｺ ﾎﾟｲﾝﾄ,1,2,0,0,0,0,0,2,2,大箱,スプレー,大箱
53002,大箱　ﾎﾟｲﾝﾄ,ポイント,ﾀﾞｲ ﾎﾟｲﾝﾄ,1,53,0,0,0,0,0,2,53,大箱,レギュラー,大箱
2804,大箱　ﾏｲｸﾛﾎﾟﾝﾎﾟﾝ ｲｴﾛｰ,マイクロポンポン　イエロー,ｵｵﾊﾞｺ ﾏｲｸﾛﾎﾟﾝﾎﾟﾝ ｲｴﾛ,7,2,0,0,0,0,0,1.5,2,大箱,スプレー,大箱
2805,大箱　ﾏｲｸﾛﾎﾟﾝﾎﾟﾝ ｵﾚﾝｼﾞ,マイクロポンポン　オレンジ,ｵｵﾊﾞｺ ﾏｲｸﾛﾎﾟﾝﾎﾟﾝ ｵﾚﾝ,7,2,0,0,0,0,0,1.5,2,大箱,スプレー,大箱
2806,大箱　ﾏｲｸﾛﾎﾟﾝﾎﾟﾝ　ｸﾞﾘｰﾝ,マイクロポンポン　グリーン,ｵｵﾊﾞｺ ﾏｲｸﾛｵﾊﾞｺｵｵﾊﾞｺ,7,2,0,0,0,0,0,1.5,2,大箱,スプレー,大箱
